Instância,FFF,HFF,GRASP_FFF_FI,GRASP_HFF_FI,GRASP_FFF_BI,GRASP_HFF_BI,PLI,Limite teórico
in/1.json,8,9,8,8,8,8,8,7
in/3.json,2,3,2,2,2,2,2,1
in/4.json,2,3,2,2,2,2,2,1
in/5.json,INVIÁVEL,N/A,N/A,N/A,N/A,N/A,N/A,3
in/6.json,2,2,2,2,2,2,2,1
in/7.json,2,2,2,2,2,2,2,1
in/10.json,8,10,8,8,8,8,8,7
in/20.json,12,16,11,12,11,12,12,11
in/21.json,2,4,2,2,2,2,N/A,1
in/40.json,27,37,26,26,26,26,35,25
in/60.json,1,2,1,1,1,1,1,1
in/70.json,2,4,2,2,2,2,N/A,1
in/100.json,4,7,4,5,4,5,32,4
in/140.json,20,29,19,19,19,19,31,17
in/200.json,5,7,4,5,4,5,N/A,4
in/250.json,37,45,35,36,35,36,N/A,30
in/490.json,15,20,15,16,15,16,27,14
in/491.json,16,22,15,16,15,16,N/A,14
in/492.json,17,26,16,17,16,17,N/A,15
in/493.json,17,27,17,17,16,17,N/A,15
in/494.json,19,23,18,19,18,19,N/A,17
in/495.json,19,26,18,19,18,19,N/A,17
in/496.json,14,23,14,15,14,14,N/A,13
in/497.json,15,22,14,15,14,15,N/A,13
in/498.json,19,26,19,20,19,20,N/A,18
in/499.json,18,26,17,17,17,18,N/A,16
in/500.json,16,23,16,17,16,17,N/A,15
in/650.json,114,243,115,232,115,251,N/A,100
in/700.json,108,200,110,170,109,195,N/A,100
in/701.json,104,212,107,154,107,176,N/A,100
in/702.json,105,206,108,163,108,204,N/A,100
in/703.json,108,215,110,180,110,198,N/A,100
in/704.json,108,200,110,180,110,194,N/A,100
in/705.json,107,199,108,174,108,199,N/A,100
in/706.json,106,227,108,172,108,192,N/A,100
in/707.json,109,199,110,169,110,189,N/A,100
in/708.json,105,217,107,143,107,206,N/A,100
in/709.json,111,194,112,181,112,191,N/A,100
in/800.json,104,206,107,164,107,199,N/A,100
in/890.json,103,206,106,171,106,204,N/A,100
in/891.json,104,206,106,178,106,204,N/A,100
in/892.json,103,202,105,174,105,200,N/A,100
in/893.json,103,210,106,173,106,206,N/A,100
in/894.json,104,204,106,174,106,205,N/A,100
in/895.json,102,205,105,175,105,203,N/A,100
in/896.json,104,208,107,176,107,207,N/A,100
in/897.json,103,205,106,174,106,202,N/A,100
in/898.json,103,208,106,177,106,202,N/A,100
in/899.json,102,208,105,173,105,207,N/A,100
in/900.json,103,208,106,181,106,206,N/A,100
